id;navn
8603330;København H
8603331;Rådhuspladsen
8603332;GammelStrand
8603308;Kongens Nytorv
8603333;Marmorkirken
8603334;Østerport
8603346;Nordhavn
8603345;Orientkaj
8603335;Trianglen
8603336;Poul Henningsens Plads
8603337;Vibenshus Runddel
8603338;Skjolds Plads
8603339;Nørrebro
8603340;Nørrebros Runddel
8603341;Nuuks Plads
8603342;Aksel Møllers Have
8603305;Frederiksberg
8603343;Frederiksberg Allé
8603344;Enghave Plads
8603304;Fasanvej
8603303;Lindevang
8603302;Flintholm
8603301;Vanløse
8603310;IslandsBrygge
8603311;DR Byen
991000032;Sundby
8603313;Bella Center
8603315;Ørestad
8603317;Vestamager
8603309;Christianshavn
8603321;Amagerbro
8603322;Lergravsparken
8603323;Øresund
8603324;Amager Strand
8603326;Femøren
8603327;Kastrup - Den Blå Planet
8603328;Københavns Lufthavn
8603306;Forum
8600646;Nørreport